"Title","ID","Created Date","Updated Date","Owner","Image","Text","Brand"
"IS5035","00139255-33d6-4b2f-ba41-5fd0b8913970",2024-07-05T13:18:02Z,2024-07-05T13:21:29Z,"8901a580-8b7d-4cf0-9262-299d87e21186","wix:image://v1/8901a5_d4762681137f42dc87b4b9bd09051216~mv2.png/IS5035.png#originWidth=1500&originHeight=1500","Inductive sensors","3fad8451-40b3-42a6-a04a-d492d1626c79"
"TQ423 PROXIMITY SENSOR","00dccb86-1a68-4410-8670-e1df82c3a7d5",2024-07-05T10:23:04Z,2024-07-05T10:23:40Z,"8901a580-8b7d-4cf0-9262-299d87e21186","wix:image://v1/8901a5_1b122dc8bed744038e8e5f7479a6ef01~mv2.png/Meggitt-Sensors-TQ423-CU_Perspective_60-25_degree0005.png#originWidth=1280&originHeight=1280","Proximity Probes","86bf8fd3-f727-4b47-a796-e5ad3a339878"
"IGT247","011c2b61-273c-4871-8850-22f2a2aa4275",2024-07-05T12:54:29Z,2024-07-05T12:58:05Z,"8901a580-8b7d-4cf0-9262-299d87e21186","wix:image://v1/8901a5_6c0fd1f745a34ca6a4599a0d2f310188~mv2.png/IGT247.png#originWidth=1500&originHeight=1500","Inductive sensors","3fad8451-40b3-42a6-a04a-d492d1626c79"
"IGT203","016f9308-5457-4396-a4a9-a33afa103a2d",2024-07-05T12:54:37Z,2024-07-05T13:00:08Z,"8901a580-8b7d-4cf0-9262-299d87e21186","wix:image://v1/8901a5_11cedb4624204cc192bf03739ed51e23~mv2.png/IGT203.png#originWidth=1500&originHeight=1500","Inductive sensors","3fad8451-40b3-42a6-a04a-d492d1626c79"
"IGS236","01f85913-e22a-4c97-922d-e3051c40a3c3",2024-07-05T13:18:03Z,2024-07-05T13:21:44Z,"8901a580-8b7d-4cf0-9262-299d87e21186","wix:image://v1/8901a5_eea95fab0f374ec2b130fee8c6941627~mv2.png/IGS236.png#originWidth=1500&originHeight=1500","Inductive sensors","3fad8451-40b3-42a6-a04a-d492d1626c79"
"SICK WS/WE260- Serisi Karşılıklı Fotoseller","02083f53-48fd-4461-a6c3-db391ad47e83",2024-07-07T17:31:31Z,2024-07-07T17:34:02Z,"a5eae4c0-83db-4e0c-a9b8-a5c1243fa868","wix:image://v1/a5eae4_54088db84fb445e394330b8a20466916~mv2.png/WSWE260.png#originWidth=150&originHeight=185","Sensor Intelligence","c6ef5efe-432d-4d74-bb49-1dd7786444ba"
"IGS213","023a4a8b-e36b-42e4-a365-80036e897805",2024-07-05T13:23:34Z,2024-07-05T13:28:39Z,"8901a580-8b7d-4cf0-9262-299d87e21186","wix:image://v1/8901a5_a05e7da5146f480381b2d2672e304aed~mv2.png/IGS213.png#originWidth=1500&originHeight=1500","Inductive sensors","3fad8451-40b3-42a6-a04a-d492d1626c79"
"IFS289","02f6b3cc-cc11-4aab-b9f6-646577f7518e",2024-07-05T13:58:15Z,2024-07-05T14:02:32Z,"8901a580-8b7d-4cf0-9262-299d87e21186","wix:image://v1/8901a5_e1ee080a32824675938e867cc2dbe875~mv2.png/IFS289.png#originWidth=1500&originHeight=1500","Inductive sensors","3fad8451-40b3-42a6-a04a-d492d1626c79"
"SICK WL160-N132 (6008807) Reflektörlü Fotosel","0308faac-3a27-41ab-b7f3-875ddd1a830d",2024-07-06T10:52:15Z,2024-07-06T10:55:30Z,"c691b9d1-ba2e-4c8a-9564-700c5febd485","wix:image://v1/c691b9_ca902aec93394871a38da081c1a3b911~mv2.png/WL160.png#originWidth=171&originHeight=178","Sensor Intelligence","c6ef5efe-432d-4d74-bb49-1dd7786444ba"
"IA0032","03982770-c532-4f1a-a678-5657bc94035b",2024-07-05T13:23:34Z,2024-07-05T13:29:01Z,"8901a580-8b7d-4cf0-9262-299d87e21186","wix:image://v1/8901a5_fd98238f7e0f4d68924decd158fa04e4~mv2.png/IA0032.png#originWidth=1500&originHeight=1500","Inductive sensors","3fad8451-40b3-42a6-a04a-d492d1626c79"
